Word	Cluster	Jaccard BNC-Genome	Genome neighbors	BNC_normalized neighbors
balloon	6	0.0	balloon green_umbrella brief_case ac_unit ballon drapery chimes smoke_detector softball triangles flying_kite book_spine an_umbrella dormer lit_candle	behaviour race commercial distinction at sharp each since consideration class completed combined numbers correspondingly mcfarlane
bamboo	15	0.0	bamboo green_food bedcover sectional number_six scrub rice_cooker metal_beam birch_tree green_color jello cashew clove fence_pole trash_bins	deluxe but public receive ideologies blue carrying consensus these also rationalisations another very placed into
banana	4	0.0	banana bananas apple orange fruit cherries pear strawberry yellow_banana grapes banana_peel lemon avocado bagels grape	deliberately agriculturally possible amount sphere according although growth notion but comparatively far grew agriculture sorts
band	6	0.0	band watch wrist_watch blue_band watchband wristwatch black_band wrist_band armband bracelet sweatband wristband hair_band bracelets green_band	claims locals dividing its when stress a particular various politically question doing anthony minority early
bandage	15	0.0	bandage thumb_nail knee_brace wedding_band man's_mouth tatoo brace white_lights knee_guard scrape finger_nail snowpants cast knuckle snow_gear	likely distinction cost actually number division attributes case sharp commercial consider owned at upon grew
bank	11	0.0	bank concrete_step large_body shoreline seawall river_water coast plane_wheels river_bed brown_sand small_ripples mountian shore mounds foilage	boot again possibility when category felt launched wider intend opposition paper this servants debating role
banner	17	0.0	banner two_signs two_lights white_flag awning store_sign flag globe_light banners globe red_banner streetlights third_floor green_wall black_tiles	affected claims tends particular minority early a dividing its politically objections stress such at question
bannister	17	0.0	bannister banister barricade railing staircase pumpkin ramp handrail railings brick_wall rail steps arch motorbike section	quality new transportation again authors dividing sites statements 2 boot category servants denied launched communities
barge	6	0.0	barge marsh rapids slopes gondola dock kayak piling ferry raft boat_dock boats shore_line pier ships	relation anthropologists nascent behind mcfarlane distinction at as for actually anthony felt commercial types location
bark	0	0.0	bark moss pine_cone roots branch grove greenleaves large_leaves branche banana_leaf birdhouse yellow_leaves tree_base bumps knots	field benefit against alternative take in final right big aspects today also social literature most
barn	0	0.0	barn stable plateau back_ground silo green_fence wildflower ranch wooden_structure shed corral belts moutains brown_trees ski_lodge	exact published suggestion this expanding motivations subdivided when two intend politically new facilities crichton category
barrel	6	0.0	barrel safety_jacket barrels dirt_pile hardhat flower_pots tool_box green_bananas browser stamen grid battery channel dumpster sewer_grate	sector question a aspect particular claims politically stress enquiries at priorities most davids microelectronics whom
barrier	17	0.0	barrier pavers bedskirt fence boundary_line goal_net run_way white_line metal_fence median bushes zone black_railing brown_pole skateboard_ramp	discussions besides value has anthony felt ideas nascent cast at new rather liberty conflicting predominantly
base	12	0.0	base bottom top top_part inside pedestal edge side part foundation rim home_plate corner reflection handle	knowledge when its launched dividing aspects against neighbourhood there locals take series servants boot communities
baseball	8	0.0	baseball ball white_frisbee bat tennis_ball baseball_glove midair softball soccer homeplate snowball snowboarding baseball_bat skating flying_kite	controllers sphere sorts growth possible belong comparatively do but professional deliberately grew agriculturally amount according
baseline	8	0.0	baseline boundary_line foul_line third_base batter's_box red_clay chalk_lines turf boundary play_area scuff_mark baseballs base_line second_base pitchers_mound	rat end knowledge neighbourhood services motivations work intensive either point when increased found can really
basil	7	0.0	basil tomato_sauce toppings feta_cheese mozzarella_cheese pepperoni parchment_paper crumble artichoke tomato_slice burn mushroom pizza_sauce seasonings shallot	bust differences alterations who seen aim ribbon everyone 1977 problems had niceties great factors welcome
basin	2	0.0	basin sprayer toothpaste_tube soap_bottle brown_floor soap_dish white_tub lavatory washing_machine seat_lid faucet wire_basket metal_part telescope cistern	sites again forum take competition application debating launched claimed was criteria communities connection category dividing
basket	6	0.0	basket bowl box plate bag bin container crate tray containers pile shelf crates platter bins	aspect incomer politically a question sector claims suggestion at stress enquiries useful particular inhabited meaningful
bat	8	0.0	bat baseball_bat racket baseball_mitt baseball tennis_racket glove racquet ski_pole cell whip raquet screwdriver running white_frisbee	discussion actually distinction migration case value anthony unskilled mcfarlane 171 constraint stress predominantly felt behind
bathroom	2	0.0	bathroom shower kitchen room restroom vanity sink opened tub bedroom hall living_room theater classroom bath_tub	farms centralisation count forum mentality same concerning where so competition meaning appeared mentioned latter suburbia
bathtub	2	0.0	bathtub tub bidet wastebasket shower sink white_tub commode urinal tap tile_wall framing bathroom_sink faucet brown_floor	forged (see belonging numbers attributes agriculturally that occupations redundant comparatively sphere published relates areas agriculture
batter	8	0.0	batter baseball_player player baseball_batter catcher ball_player baseball_players players umpire baseball_pitcher hitter football_player baseman boy athlete	things us another immigrants locally medium local produced disruptive stems topic living provide circulation more
battery	6	0.0	battery monitors batteries tape_dispenser ear_buds coffee_cups memory_chip browser champagne_flute electrical_cord black_mouse beaker microphones lcd ipod	most davids question commercial doing well-known particular anthony high-density enquiries at often there priorities society
bay	9	0.0	bay river_bed cityscape dunes small_ripples channel graffiti_letter tress large_body framed_print bird_decal wall_hanging wall_tile white_shelf marble_tile	end services increased rat work goliath neighbourhood claimed impinge found perhaps knowledge elicit life motivations
beach	3	0.0	beach sand shore shoreline ashore ocean beach_sand horizon brown_sand ground sea sandy_beach river_bank cliff sea_shore	what much addresses total concentrated earnest middle elicit engaged accept contrast ln experts being modern
bead	6	0.0	bead jewel beads trinket whistle charm knife_handle pendant gem purple_tie medallion deer_head jello cashew clove	orientation commercial number high-density davids cost neighbourhoods most at vested few study course at enquiries
beak	6	0.0	beak feathers tail_feathers feather black_feathers eye neck tail_feather wing breast white_chest bird_wings peck bird_head feet	members get ago be explicit health question but cost facts aware incomer whether division carrying
bean	7	0.0	bean chickpeas lima_bean chinese_food grape_tomato bell_peppers meat_piece carrot_piece green_pea food_piece potatoe dumpling seafood cheeseburger pasta_salad	lose agriculturally far according commercial although cost sharp unskilled at meaningful agriculture distinction actually clearly
bear	6	0.0	bear polar_bear teddy_bear animal dog teddy giraffe cat zebra elephant goat sheep stuffed_animal cow bears	out is support presented defend affect deserved decisions circulation planning parts collar truth changes expert
beard	1	0.0	beard sun_glasses mustache grin black_sunglasses facial_hair mole spectacle dark_shorts acne moustache shin sideburn side_burn side_burns	term takes choose immigration vicinity all mercenary yet sorts divide entire explicit have whether sphere
bed	12	0.0	bed couch bunk_bed futon mattress sofa dresser pillow chair bed_frame comforter beds book_case desk nightstand	view studies locally stems produced redundant immigrants instances changes origins terms another us types sponsored
bedroom	12	0.0	bedroom room living_room classroom kitchen theater hotel_room office stable courtyard cell bathroom dump_truck skate_park hallway	terms origins count this competition instances concerning crichton expanding said effectiveness farms polarity isolated motivations
bedspread	12	0.0	bedspread bedsheet bedsheets bed_cover quilt comforter white_pillows linens head_board airstrip bathmat long_pants rose_bush bed_spread spread	ever migration between 171 court helped actually subject predominantly stress camps opposition division felt era
bell	6	0.0	bell bells two_clocks charm small_windows belfry pendant digits pendulum cupola arched_window church_steeple ornamentation cattle_guard vane	1965 rights opposition role capital-intensive incomers status again category corollary modern debating felt 1978 context
belt	1	0.0	belt black_belt fanny_pack belt_loop pockets back_pocket suspender kneepad sash 17 lifejacket pocket walkie_talkie loops khakis	(1 depends all actually mercenary vicinity provision almost effectiveness case on subject opposing facts division
bench	17	0.0	bench chair benches park_bench bush grass wooden_bench picnic_table tree couch table fence rock hydrant chairs	middle earnest what much would addresses contrast engaged total go sentiment elicit modern whole forge
bend	5	0.0	bend rut red_stain street_line arrow_sign iron_rod bird_poop green_letter fasteners soldiers water_hose chinese_characters red_wheel white_number z	local medium us topic meant cast immigrants types stems another living felt ideas where boot
berry	6	0.0	berry pine_cone berries elements peaches bud creamers meat_ball red_topping red_leaves green_leaf diploma potatoe daffodils pasta_salad	land cases socially each agriculturally second bureaucratic temporary consideration at those comparatively although aims numbers
beverage	7	0.0	beverage drink soda beer ice_water liquid champagne tea_bag fluid straws red_wine oyster pens ice beer_glass	tenuous factors moreover who belong supposed receive made seen turn struggle activities ribbon deliberately convenient
bib	1	0.0	bib baseball_shirt rain_coat white_uniform sweat_shirt white_clothes red_vest snowsuit blue_socks winter_coat id_badge pink_shoes gift cardigan black_boots	seemingly choose have gives vicinity yet mercenary takes growth immigration whether term residents sphere applies
bicycle	18	0.0	bicycle bike motorcycle scooter motorbike walker motor_bike dirt_bike bikes moped wheelchair jeep trashcan cycle car	gives consider choose applies cost grew that vested actually division attributes number protect vicinity whether
bikini	3	0.0	bikini capris black_wetsuit bikini_bottom swimsuit cleavage black_dress red_dress bikini_top para_sail pink_skirt pink_shorts snowpants cardigan bathing_suit	apparent refute composed attributes sorts comparatively sphere be it that agriculturally remarks imply contrasted choose
bill	6	0.0	bill brim chin_strap white_table money wicker tail_feathers black_sunglasses flash_drive styrofoam visor bird_head peck breast feather	situation assumption its dividing claims debating locals 1971 we students communities early there objections when
billboard	5	0.0	billboard red_roof train_platform streetlight pick_up_truck black_tshirt here green_awning top_shelf power_lines terraces borders phone_booth meters stores	having broader neighbourhoods cost economy unskilled commercial vested areas number production advice there actually high-density
bin	6	0.0	bin public wastebasket waste_bin trash_bin bins garbage_can trash_can litter_box plunger crate floor_tiles orchard crates street_curb	tracts isolated crichton expanding competition published was forum meaning base this processes acquainted concentration so
binder	6	0.0	binder laptop_keyboard tape_dispenser nick_knack rental_video t-shirts beaker champagne_flute black_laptop cds white_keyboard deodorant memory_chip picture_frames spice_bottle	distinctions intend predominantly facilities value boot category opposition rights felt suggestion migration when found engendered
binding	6	0.0	binding black_boot drumstick soccer_cleats ski_shoe bindings black_design tricks spiderman clamps red_socks snow_boot roller_blades stirrup shoelaces	manufacturing use economic social right the against alternative instruction was ideology these also three operate
bird	6	0.0	bird birds seagull parrot duck pigeon eagle goose pelican swan animal flamingo bear hen owl	commercial sharp distinction at anthony doing at davids saunders most well-known completed areas cost race
biscuit	7	0.0	biscuit flash_drive chinese_food red_towel wood_table bench_leg plate_of_food mashed_potatoes brownie treats brussels_sprout sprout hashbrowns veges nectarine_slice	cases possible second those agriculturally tended i numbers grew consideration passing schooling socially exclusive crofters
bit	7	0.0	bit sucker memory_chip house_plant champagne_flute strips speckle tape_dispenser cacti whip ticket moisture green_background poll piece	universities those passing schooling cases exclusive second fishermen tended socially in i considered boom (7
bite	7	0.0	bite quarter bent candy_apple bread_slice donut_hole bottom_bun jalapenos seaseme_seed meats depression jelly shallot pepperoni_slice broccoli_head	our dispute decisions involved residence where suggestive am understanding deserved tradition characterised bring nascent circulation
blackberry	7	0.0	blackberry potatoe elements raspberry sand_dune number_six red_topping white_bowl berries diploma phones trash_bins letter_h 50 40	complaints who factors everyone receive permanent ribbon struggle problems had welcome seen supposed aim position
blackboard	1	0.0	blackboard book_spine computer_speaker grave_stone number_six projector_screen chalkboard table_edge black_board letter_h door_mat grocery_bag safety_cone photo_frame trash_bins	whole much court would middle modern go forge what as contrast nationally ultimately earnest addresses
blade	6	0.0	blade blades knife_handle rotor ceiling_fan pinwheel pizza_cutter yellow_circle metal_part tip wii_control handle core bottle_opener propeller	minority claims dividing stress a early communities locals tends its objections various politically assuming debating
blanket	12	0.0	blanket pillow sheet sheets comforter quilt cushion blankets blue_blanket bed_spread cloth cushions bedspread throw_pillow mattress	cost commercial meaningful division at actually number davids enquiries unskilled at neighbourhoods society areas few
blazer	1	0.0	blazer black_jeans light_skinned blue_jean jean white_sock brown_pants suit_jacket suit ski_suit trench_coat felt fedora shin dark_shirt	closest turn sorts ambiguity institution possible term sphere (especially takes yet choose it entire tended
blender	10	0.0	blender flask rice_cooker crock_pot sodas side_wall food_items white_tiles plate_stack food_prep_item dish_washer chopping_board microwave_oven toaster_oven collared_shirt	built cases agriculturally aims pilot grew possible sphere comparatively composed commitment place attributes at each
blind	12	0.0	blind window_shade arched_top valance drapery draperies blinds window_ledge iron_gate white_curtains blue_curtain shutter window_trim curtains framing	thus residence understanding cast tradition nascent behind anthony suggestive dispute constraint where actually conflicting discussion
block	6	0.0	block knife_holder knife_block paver pot_hole two_clocks thorn twelve wooden_block white_tiles brace snow_patch sockets sewer white_column	liberty covered transportation useful when felt nascent claims objections afford early are value has besides
blond	1	0.0	blond break son bare_branch shapes stilts blue_white blonde surfers cuts several_people rip young_boy small_ripples mom	they referent forms airport constraint then self-control all aware term luxury indeed on vicinity mercenary
blouse	1	0.0	blouse capris bikini_bottoms bikini_bottom cleavage vests dress trouser sweat_pants raincoat cheeks bathrobe striped_tie ski_suit blue_socks	administrative air-traffic ambiguity south taking logically have socialising side it pursued defined distinct sorts springing
board	6	0.0	board surfboard skateboard surf_board snowboard skate_board blue_surfboard surboard paddle_board advertisement_sign pizza_tray boogie_board skis ski white_surfboard	engaged much what concentrated earnest middle addresses total some modern go shetland elicit nationally papers
boardwalk	3	0.0	boardwalk seafoam flotation_device wet_sand brown_sand cliff pier horizon_line sea_weed coast wheel_chair fishing_boat light_house outcropping ocean_wave	treated born politically belonging new at subdivided published suggestion 171 (see expanding predominantly opposition division
boat	9	0.0	boat sailboat ship boats sail_boat yacht ships dock barge canoe buoy bouy blue_boat waves ripples	opposition felt category again possibility modern suggestion intend politically stress predominantly two migration boot new
body	0	0.0	body underbelly stomach eye jaw back_legs large_body hind_leg neck river_bed mouth belly head legs back_end	social in year provision conditions however unique contained postgraduate alternative health aspects locals take get
bone	6	0.0	bone tassles dill fat sucker grill_mark cow_ear poll eyeballs muscle white_teeth green_onions food_dish lemon_wedge specks	answer right social these also in ideology very another allow health against benefit alternative field
book	6	0.0	book books dvds magazine items blue_book white_book remote beaker magazines notebook papers files cd_case author	adopted essentially networks saunders vital are cover has that areas claims incomer doing politically its
bookcase	12	0.0	bookcase bookshelf book_case book_shelf pantry white_lamp wall_art radiator library shelf rectangular_window brown_couch aquarium cpu white_walls	maintain this new time category suggestion when felt again opposition boot published motivations two denied
booklet	12	0.0	booklet nunchuck champagne_flute file memory_chip folders two_plates white_plates soda_cans pizza_boxes copper potato_slice man's_lap mill art_supply	cover has networks saunders adopted claims predominantly areas at commercial engendered doing such politically essentially
bookshelf	12	0.0	bookshelf bookcase book_case pantry book_shelf shelf desks shelves pills white_lamp brown_couch radiator cpu guitar sectional	indicated owned actually 171 number case distinction ultimately upon division subject migration vagueness era likely
booth	17	0.0	booth curbside doorframe phone_booth overhead_light merchandise yellow_wall gas_station palmtree vendor bare_patch bus_stop shoppers patrons blue_train	still politically published suggestion expanding category opposition new again two 171 intend forum isolated crichton
bottle	6	0.0	bottle bottles glass jug beer_bottle jar cup wine_glass can wine_bottle container clear_glass alcohol soap_bottle water_bottle	general too e.g. few experiences different perceived developed because interests objective industry above raised nevertheless
bottom	6	0.0	bottom top edge side part base underside inside top_part corner tip section front middle sole	life body lies justified about (june so while attract examine emerges uniqueness their person population
boulder	0	0.0	boulder rock large_rock grey_rocks tree_part log fencepost shallow_water white_rocks grass_patch boulders mountain_peak stones wildebeast bluejeans	applied cost at commercial examination number davids broader meaningful neighbourhoods economy division bell industry relates
bouquet	19	0.0	bouquet flower_stem carnations arrangement stamen stems flower_petal petals floral_arrangement vase lily orange_flowers rose_petal yellow_petal bloom	assimilated industry general bell in few experiences too examination above because (7 developed study authority
bow	15	0.0	bow ribbon red_ribbon beret pink_bow hair_band bow_tie hair_bow curls beads hull country red_band black_collar stern	understanding constraint dispute discussion residence cast where actually division nascent females attitudes whether suggestive characterised
bowl	7	0.0	bowl plate dish container basket cup box broth pan jar salad tray pot piece food	industry bell meaningful few at community enquiries general above inhabited agriculturally co-operation davids economy study
box	6	0.0	box basket bowl tray plate boxes tissue_box bin bag platter table container kleenex_box crate bags	politically suggestion at a facilities two intend claims stress opposition engendered new subdivided apart predominantly
brace	1	0.0	brace knee_brace white_wristband cast anklet man's_mouth tatoo braclet muscle bandage wrist_guard knee_guard padding metal_poles latches	villages too general in few e.g. because industry of experiences authority way raised (something assimilated
bracket	16	0.0	bracket clamps brackets rivet street_pole staples brace bolt screw rivets bolts white_number screws clamp fastener	grants rights paper again incomers status role forum boot wider possibility opposition category debating being
braid	1	0.0	braid hair_bow pink_bow pony_tail curls barefoot red_band dark_hair hair_band ponytail fingernails hairband pink_skirt pink_shorts blonde_hair	self-control indeed but ambrose public receive taking show expansion rationalisations deluxe do carrying word negotiation
brake	18	0.0	brake brakes tailpipe handle_bar rear_light black_seat licence rear_view_mirror motorcycle_wheel pedals bike_wheel tailight red_frame taillight rims	internal whole much nationally middle court large what as earnest go engaged present modern intensive
branch	0	0.0	branch branches bark twig nest no_leaves tree leaves blooms tree_branches limb pine_needle twigs roots trunk	most familiar against country aspects final constraining sea alternative relations company avenue make 1 take
breakfast	7	0.0	breakfast pancake cheesecake empty_glass wooden_wall green_broccoli piece_of_meat party tea_cup blue_flowers pie brussels_sprout sprout hashbrowns veges	individuals obvious sea away demarcated jackson oil receive reports answered taking expect north struggle ideology
breast	15	0.0	breast white_chest bird_wings peck bird_head two_feet tail_feather black_feathers kneecap pink_skirt pink_shorts bikini_bottoms white_teeth finger_nails tail_feathers	local masters conditions promote arrived stand basic however 385 taking central industrial talking traditional logically
brick	6	0.0	brick bricks concrete_tile paver drain_cover sockets wood_trim crack fireplace_mantle red_brick brown_pot pillar grey_brick stone firewood	taken but above within do meaningful industry allow agriculturally carrying economy cost bell community clearly
bride	19	0.0	bride groom friend woman writings lady crinkle sword parasailing infant afro stuffed_bear she girl model	edinburgh in opposing locals added provision national deal various migration denied capital-intensive year explain social
bridge	5	0.0	bridge overpass power_line walkway power_lines electric_wires electrical_wires wires structure powerline houses walking_path station traffic_signal powerlines	role rights incomers wider sited this authors again theme being section students debating elicit concentrates
bridle	14	0.0	bridle white_marking black_mane hijab reins bridal nostrils flies rein horse_tail harness blaze white_patch white_stripe reign	old national stress migration camps unskilled time opposing does subject 358 intensive actually court as
briefcase	1	0.0	briefcase black_pan diamond_pattern black_luggage trash_cans red_towel tennis_balls artichokes black_suitcase door_mat digits sign_holder liquor_bottle suit_case details	lie international grow unemployment immigration touchstone explicit all mercenary vicinity 385 feeling talking choose takes
brim	1	0.0	brim bill chin_strap visor right_horn black_strip pom_pom letter_c letter_d top_shelf blue_strip adidas ski_goggles tassel goggle	establish see servants topic meant about prime experts wider lies being work authors uniqueness section
bristle	6	0.0	bristle bristles brissles smiling_face tinsel paste grip letter_f leafs white_handle back_end pink_ribbon tooth brakes number_four	until constraint comparatively understanding suggestive grew interaction forth middle-aged residence discussion dispute growth decisions according
broccoli	7	0.0	broccoli carrot meat noodle carrots pepper noodles pea brocolli chicken tofu vegetables mushroom onion vegetable	emphasise aim who encouraged seen others welcome problems activities niceties had jobs everyone factors activated
broom	6	0.0	broom sectional duct left_ski shopping_bag wooden_slat scooper wood_bench warmer rain_gutter grassy_hill wooden_desk black_trim rocking_chair appliance	date grew comparatively agriculturally attributes commitment sphere at according cost far meaningful growth that whether
brow	15	0.0	brow brown_patch eye_brow blue_socks brows eye_shadow plaid_shorts eyebrows eyebrow blue_sock cheeks spectacle sun_glasses curls goggle	thought talking stand wide-ranging industrial unemployment central 385 myth promote definable prevailing persuasion arrived lie
bruise	4	0.0	bruise blemish green_sticker freckles candy_apple navel freckle birthday_candle bruises black_spot dotted_line brown_stem black_mark cinnamon black_dot	consider gives likely actually number division cost grew distinction race sharp socio-economic vested attributes case
brush	6	0.0	brush toilet_brush tooth_brush toothbrush plunger wild_flowers toilet_paper scrubber toiletpaper wheat cleaner snow_hill litter_box tiara tissue	constraint understanding discussion attitudes actually whether according division cast unskilled subject residence far airport distinction
bubble	6	0.0	bubble question_mark black_olive burnt_crust burn arugula browser air_bubble bubbles yolk red_topping burnt_spot whisk juice_box lcd	rose question claims anthony well-known networks stress in high-density transportation tel assuming doing most also
